INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	10.1
Global:
LX	374.314
LY	373.518
A0	2812.5
SEED	89542
TIMEINTERVAL	0.1
MINAREA	28.125
MINLENGTH	0.883883
NEWEDGELENGTH	1.76777
K	0.848528
GAMMA	1
TOTALTIME	10
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	100
ALPHAM	0.282843
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	0
equilibriumtolerance	1e-11
NUCLEATIONTHRESHOLD	1
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	50
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
852	317.746	133.733	1.89216	2.14141	2.24962	0.662828	1.35396	0.407878
853	316.543	102.172	1.9994	1.98691	2.29688	1.45392	0.53923	0.460467
854	360.637	146.217	1.83595	2.27522	2.17202	1.20123	0.115217	0.802758
856	359.558	81.1686	2.31679	2.03801	1.92839	0.50903	1.47323	0.509973
865	367.947	168.428	2.1378	2.17717	1.96821	0.819865	1.33762	0.268718
866	343.053	190.059	2.01505	2.38141	1.88673	1.41868	0.475314	0.532209
867	340.743	214.239	2.41138	1.97589	1.89592	0.269887	1.21785	0.718057
868	357.574	237.082	2.31579	2.17329	1.79411	1.0479	1.19664	0.0387436
869	363.818	237.772	2.37148	1.7901	2.1216	1.29574	0.234934	0.950808
870	254.784	210.01	1.9937	2.25506	2.03443	1.02834	1.09603	0.0991839
871	284.33	257.873	1.89169	2.0684	2.3231	0.513751	1.46629	0.520447
872	287.819	226.626	2.0225	1.9119	2.34879	1.24115	0.726046	0.285202
873	273.851	209.409	1.88471	2.2209	2.17757	0.0531621	1.14195	1.05729
874	258.322	277.281	2.26392	2.02669	1.99257	1.36853	0.372242	0.75972
875	226.836	269.691	2.11645	1.85885	2.30788	0.821658	1.16599	0.10777
876	221.627	253.376	1.88027	2.17974	2.22317	1.28342	0.171839	0.768297
877	212.696	52.2872	1.48744	2.10439	2.69135	0.40511	1.39081	0.647087
878	236.136	0.0742898	2.17872	1.46347	2.64099	0.560068	1.26103	0.171665
879	260.973	69.2893	1.71553	2.18939	2.37826	1.19638	0.00724843	0.850518
880	282.934	27.4495	2.38906	2.27739	1.61674	1.41777	0.915452	0.279076
882	30.6169	334.559	2.32948	2.40825	1.54546	1.07289	1.29597	0.131234
883	52.7959	336.602	2.16167	1.9671	2.15441	1.17268	0.0954719	0.985362
885	298.885	170.802	2.23146	1.73492	2.31681	0.704572	1.27862	0.162887
886	294.584	153.922	2.13043	2.03822	2.11454	1.35945	0.302181	0.763033
888	80.0214	190.771	1.97912	2.00447	2.29959	0.839413	1.15238	0.162824
889	114.483	195.985	2.09355	2.01697	2.17266	1.19692	0.11059	0.936184
891	51.8894	151.173	2.12241	2.00568	2.15509	0.693956	1.37009	0.308882
892	47.4648	127.447	1.79681	2.17353	2.31284	1.45609	0.299664	0.598741
894	281.622	323.757	2.12149	2.09625	2.06544	1.57036	0.538507	0.522241
895	265.319	314.627	2.26649	2.295	1.7217	0.622763	1.48361	0.524736
897	10.4225	100.284	1.4129	2.42693	2.44335	1.35581	0.134138	0.572314
898	11.4957	105.012	2.35167	1.56152	2.36999	0.618155	1.33844	0.162605
Edges
id	vertex1	vertex2	xflag	yflag	tension	length	_cell1	_cell2
1	762	635	0	0	1	31.9778	1	28
2	635	466	0	0	1	8.28861	1	44
3	466	627	0	0	1	21.9235	1	29
4	627	628	0	0	1	39.1137	1	21
5	628	756	0	0	1	33.9235	1	9
6	756	755	0	0	1	13.065	1	36
7	755	761	0	0	1	33.8109	1	16
8	761	762	0	0	1	15.4737	1	6
9	812	760	0	0	1	19.0486	2	11
10	760	629	0	0	1	40.2534	2	9
11	629	801	0	0	1	24.8141	2	21
12	801	804	0	0	1	37.94	2	38
13	804	813	0	0	1	27.3852	2	33
14	813	812	0	0	1	40.9316	2	41
15	759	194	0	0	1	43.4084	3	42
16	194	197	0	0	1	56.5536	3	27
17	197	888	0	0	1	33.6474	3	14
18	889	759	0	0	1	37.6721	3	36
19	875	733	0	0	1	50.0818	4	25
20	733	584	0	0	1	37.7842	4	46
21	584	583	0	0	1	24.7782	4	10
22	583	818	0	0	1	28.8408	4	42
23	818	819	0	0	1	41.2693	4	43
24	819	876	0	0	1	13.4892	4	11
25	876	875	0	0	1	17.1259	4	12
26	880	843	0	0	1	24.2556	5	45
27	843	844	0	0	1	18.0428	5	20
28	844	806	0	0	1	57.4068	5	7
29	806	805	0	0	1	28.9183	5	33
30	805	879	0	0	1	28.7267	5	38
31	879	880	0	0	1	47.2529	5	23
32	892	763	0	0	1	33.2537	6	37
33	763	762	0	0	1	52.4377	6	28
34	761	764	0	0	1	58.5627	6	16
35	764	891	0	0	1	21.0798	6	14
36	853	806	0	0	1	18.0993	7	33
37	844	851	0	0	1	36.6302	7	20
38	851	856	0	0	1	45.0838	7	17
39	856	853	0	0	1	47.8694	7	48
40	641	577	0	0	1	24.0263	8	20
41	577	581	0	0	1	45.1929	8	15
42	581	580	1	0	1	35.2739	8	18
43	580	882	0	0	1	46.0091	8	49
45	882	641	1	0	1	53.8685	8	50
46	815	756	0	0	1	38.6315	9	36
47	628	629	0	0	1	27.5534	9	21
48	760	816	0	0	1	32.4461	9	11
49	816	815	0	0	1	22.258	9	43
50	584	73	0	0	1	25.2706	10	46
51	73	72	0	0	1	71.263	10	34
52	72	192	0	0	1	10.3068	10	49
53	192	195	0	0	1	30.7708	10	27
54	195	583	0	0	1	55.2625	10	42
55	819	816	0	0	1	54.0862	11	43
56	812	870	0	0	1	39.36	11	41
57	870	876	0	0	1	54.5895	11	12
58	870	873	0	0	1	19.0769	12	41
59	873	872	0	0	1	22.1703	12	19
60	872	871	0	0	1	31.4409	12	32
61	871	874	0	0	1	32.4517	12	22
62	874	875	0	0	1	32.3879	12	25
63	636	65	0	0	1	30.4614	13	37
64	65	49	0	0	1	38.9504	13	17
65	49	634	0	0	1	40.8797	13	50
66	634	630	0	0	1	46.0137	13	40
67	630	637	0	0	1	16.2926	13	44
68	637	636	0	0	1	25.9889	13	28
69	764	888	0	0	1	33.1267	14	16
71	197	196	0	0	1	9.46549	14	27
72	196	172	0	0	1	26.4701	14	39
73	172	173	0	0	1	29.9339	14	30
74	173	891	0	0	1	36.5261	14	26
76	894	582	0	0	1	50.563	15	22
77	582	581	0	0	1	20.4085	15	18
78	577	579	0	0	1	30.0158	15	20
79	579	578	0	0	1	39.3932	15	45
80	578	894	0	0	1	20.051	15	47
82	755	889	0	0	1	49.1495	16	36
83	851	850	0	0	1	17.3858	17	20
84	850	49	1	0	1	20.7254	17	50
85	65	897	0	0	1	42.0665	17	37
87	897	856	1	0	1	31.6121	17	48
88	869	189	1	0	1	46.4146	18	39
89	189	580	0	0	1	19.9792	18	49
90	582	754	0	0	1	23.0639	18	22
91	754	868	0	0	1	51.5659	18	32
92	868	869	0	0	1	6.28257	18	30
93	873	885	0	0	1	46.0134	19	41
95	885	866	0	0	1	48.1829	19	24
96	866	867	0	0	1	24.2901	19	30
97	867	872	0	0	1	54.3543	19	32
98	843	579	0	1	1	29.5365	20	45
99	641	850	0	1	1	31.0562	20	50
100	837	801	0	0	1	56.3689	21	38
101	627	836	0	0	1	47.9363	21	29
102	836	837	0	0	1	4.23953	21	35
103	871	754	0	0	1	43.5354	22	32
104	895	874	0	0	1	37.9957	22	25
105	879	877	0	0	1	51.1834	23	38
106	877	878	0	0	1	57.233	23	35
107	878	880	0	0	1	54.2166	23	45
108	886	852	0	0	1	30.7258	24	33
109	852	854	0	0	1	44.6707	24	48
110	854	865	0	0	1	23.3826	24	26
111	865	866	0	0	1	32.9796	24	30
112	895	732	0	0	1	51.3924	25	47
113	732	733	0	0	1	23.8809	25	46
114	854	898	1	0	1	48.2858	26	48
115	898	892	0	0	1	42.3922	26	37
116	173	865	1	0	1	33.0183	26	30
117	194	195	0	0	1	15.5326	27	42
118	192	193	0	0	1	39.9577	27	49
119	193	196	0	0	1	53.5655	27	39
120	763	636	0	0	1	37.8869	28	37
121	637	635	0	0	1	66.9713	28	44
122	466	465	0	0	1	55.2046	29	44
123	465	838	0	0	1	36.3384	29	31
124	838	836	0	0	1	47.8892	29	35
125	172	869	1	0	1	51.5818	30	39
126	868	867	0	0	1	28.3733	30	32
127	465	631	0	0	1	22.3275	31	44
128	631	205	0	1	1	32.9169	31	40
129	205	204	0	0	1	32.9023	31	34
130	204	839	0	0	1	43.7356	31	46
131	839	838	0	1	1	27.0476	31	35
132	886	813	0	0	1	29.8636	33	41
133	804	805	0	0	1	29.2571	33	38
134	853	852	0	0	1	31.5834	33	48
135	883	72	0	0	1	41.1025	34	49
136	73	204	0	0	1	10.3409	34	46
137	205	78	0	0	1	63.2578	34	40
