Voronoi Tesselation Data: 
NumbCells 400 	 rng 2031 
ratio pressure to tension	3.333333
Global:
LX	750.000000
LY	750.000000
A0	1406.250000
SEED	89542
TIMEINTERVAL	1.000000
MINAREA	14.062500
MINLENGTH	0.625000
NEWEDGELENGTH	1.250000
K	1.333333
GAMMA	10.000000
TOTALTIME	100.000000
CURRENTTIME	0.000000
VERBOSEON	1
INITIALSTEPSIZE	0.000100
error_tolerance_absolute_mechanical	0.010000
TISSUE_ALPHA	4.00
ALPHAM	0.400000
TISSUE_EXT_STRESS_X	0.000000
TISSUE_EXT_STRESS_Y	0.000000
equilibriumtolerance	1.000000e-02
NUCLEATIONTHRESHOLD	2.000000
NUCLEATIONBASECRITERIA	1
endGlobal
Vertices
id	x	y
4015	 279.5283	 296.4058
4016	 267.0071	 171.6044
4017	 249.1984	 150.9787
4018	 229.7185	 159.1525
4019	 291.7710	 205.2522
4020	 263.5330	 186.4890
4021	 183.1473	 279.5224
4022	 291.3950	 290.4665
4023	 324.7026	 277.7241
4024	 325.5242	 241.6368
4025	 335.0483	 251.8947
4026	 335.6140	 258.8764
4027	 368.5655	 238.3802
4028	 382.2818	 248.0368
4029	 367.1094	 213.9131
4030	 384.6139	 201.5939
4031	 411.5571	 221.7478
4032	 410.7900	 229.1639
4046	 56.4585	 499.0248
4047	 87.0192	 482.3457
4048	 97.2464	 512.2255
4049	 76.5559	 528.0536
4050	 74.5830	 527.3867
4051	 656.8000	 351.9717
4052	 640.9042	 328.4331
4053	 651.9355	 334.7343
4054	 607.1350	 333.3365
4055	 580.4644	 337.7101
4056	 590.0487	 384.9135
4057	 593.7803	 382.5872
4058	 600.1484	 342.7645
4059	 599.8444	 342.0506
4060	 675.9013	 355.5944
4061	 698.9212	 274.3571
4062	 669.2546	 309.6202
4084	 628.9063	 162.3202
4085	 642.0465	 160.2396
4086	 640.5508	 162.1492
4087	 646.6261	 114.8607
4088	 592.3257	 181.0931
4089	 573.0885	 156.4389
4090	 555.0724	 198.9335
4091	 472.3940	 453.7989
4092	 456.8774	 455.2283
4093	 478.9954	 431.2672
4094	 471.9335	 418.0372
4095	 451.4060	 408.4838
4096	 424.0463	 417.9640
4097	 425.2483	 439.4747
4098	 475.4228	 480.4636
4099	 444.1856	 501.7086
4100	 366.2021	 544.5624
4101	 584.1667	 486.3263
4102	 642.2659	 528.4036
4103	 643.9072	 529.3683
4106	 658.7133	 405.2491
4107	 627.7405	 410.5061
4108	 618.1233	 385.7778
4109	 646.7496	 363.3661
4110	 633.8679	 366.3012
4111	 662.6885	 450.5992
4112	 669.6753	 466.8620
4113	 671.6878	 412.0097
4114	 683.3499	 470.2378
4115	 681.1645	 470.7609
4116	 717.0754	 434.9567
4117	 704.0558	 555.2984
4118	 711.5053	 574.1856
4119	 659.3130	 565.2589
4128	 725.2040	 660.5895
4129	 744.1240	 669.5589
4135	 232.6981	 576.3688
4136	 224.3182	 548.4396
4137	 205.9440	 554.8175
4138	 198.9009	 589.0198
4139	 211.8069	 595.9173
4140	 317.3333	 680.1062
4141	 317.9540	 678.4985
4142	 246.2662	 614.1438
4143	 213.7342	 601.1027
4144	 279.0445	 526.1825
4145	 293.7485	 496.6364
4146	 258.5828	 481.5448
4147	 273.3465	 479.6108
4148	 312.4822	 600.0664
4149	 309.5425	 637.9047
4252	 640.4005	 40.7514
4253	 700.4000	 60.5596
4254	 683.1666	 77.1729
4255	 690.0702	 30.1345
4256	 689.7908	 30.0055
4257	 607.6896	 58.3192
4258	 629.9586	 101.2708
4259	 643.0574	 68.3026
4260	 636.5883	 54.9062
4261	 633.5758	 9.6806
4262	 631.7975	 20.9876
4264	 583.7379	 3.3150
4265	 595.9660	 28.0611
4267	 446.5754	 38.5507
4268	 454.3151	 44.1749
4269	 517.6539	 48.7730
4270	 499.1777	 61.9284
4271	 468.3410	 111.6052
4272	 449.7725	 113.6373
4273	 438.1173	 137.5736
4274	 467.6982	 156.7728
4275	 525.1367	 83.1369
4276	 512.0080	 104.7848
4277	 499.0327	 62.8504
4278	 482.0422	 86.7569
4279	 480.5049	 79.6620
4280	 468.6655	 174.8495
4281	 468.8513	 174.4370
4282	 478.4512	 202.0721
4283	 511.6888	 196.9436
4284	 512.3861	 107.8129
4285	 488.5712	 131.3178
4286	 488.6712	 137.2795
4287	 532.6166	 123.6986
4288	 533.4652	 141.4465
4289	 144.5767	 11.6603
4293	 128.5594	 54.2649
4294	 108.0335	 19.7374
4295	 116.4370	 22.4993
4296	 154.9635	 100.5445
4297	 153.4863	 77.6616
4298	 123.7169	 65.3764
4299	 58.4812	 63.2586
4300	 69.5385	 94.4268
4301	 38.2192	 109.1406
4302	 14.2309	 86.9940
4303	 15.4079	 83.4741
4304	 323.0535	 18.4168
4305	 317.0838	 31.0837
4306	 342.2947	 9.9283
4307	 340.3573	 59.0716
4308	 367.0667	 24.5236
4309	 367.3798	 39.2112
4310	 298.5710	 76.5741
4311	 282.9798	 92.3357
4312	 268.0317	 86.6239
4313	 293.9858	 54.3905
4314	 258.4031	 46.3628
4315	 254.8194	 53.4444
4316	 256.9471	 32.2780
4317	 277.8287	 16.3333
4319	 231.3844	 14.4062
4359	 63.6039	 179.1503
4360	 93.8886	 200.2257
4361	 64.6082	 195.8376
4362	 76.3277	 208.9351
4363	 76.2543	 208.9203
4364	 89.3786	 139.0641
4365	 71.7513	 167.5273
4693	 115.1565	 554.2310
4694	 105.9745	 557.2914
4695	 74.6140	 614.9518
4696	 82.6419	 604.8680
4697	 72.5358	 628.9737
4698	 103.4720	 598.5488
4702	 108.2958	 730.5591
4705	 24.9254	 634.7794
4707	 12.9613	 615.2332
4708	 65.3818	 672.0332
4709	 78.3772	 690.1425
4710	 113.4528	 687.8856
4711	 112.6069	 649.6987
4712	 78.0933	 641.0641
4718	 33.2721	 722.3684
4719	 81.1013	 728.0785
4720	 71.3511	 716.5706
5020	 215.0028	 273.4574
5021	 227.2879	 283.9429
5022	 240.1900	 283.4327
5023	 168.1533	 281.9026
5024	 182.7200	 279.2608
5025	 144.4879	 268.7970
5026	 150.4106	 246.3880
5027	 171.8626	 236.7901
5028	 182.4964	 242.6736
5029	 285.1878	 265.8426
5030	 254.6656	 252.1728
5031	 288.9144	 220.7008
5032	 302.7847	 239.8953
5051	 550.8177	 336.7735
5052	 576.6052	 339.3132
5053	 541.4564	 373.3510
5054	 563.7126	 386.3055
5055	 564.5407	 385.9054
5056	 692.8097	 378.4489
5057	 717.6986	 374.3108
5058	 680.2769	 408.8099
5059	 734.6200	 401.9886
5060	 714.9469	 424.8262
5061	 726.5437	 357.4591
5063	 636.8789	 292.8416
5064	 658.0262	 291.1582
5065	 629.4774	 262.8519
5066	 658.4844	 256.2144
5067	 666.5476	 270.8409
5072	 704.7185	 17.1007
5100	 574.3709	 143.4841
5101	 603.0647	 133.1442
5102	 544.6892	 532.7288
5103	 405.3046	 533.4688
5104	 404.9466	 534.0326
5105	 562.7616	 535.9062
5106	 586.7396	 508.6712
5107	 622.5908	 532.9697
5108	 571.5645	 555.9817
5109	 604.0247	 564.2615
5113	 743.4691	 705.1233
5119	 273.6677	 727.9616
5120	 269.5814	 714.3616
5121	 279.5456	 682.7558
5122	 276.3066	 678.7955
5125	 230.9275	 749.9045
5126	 186.5748	 736.1780
5127	 277.5470	 637.6076
5128	 270.8905	 659.6833
5129	 247.3312	 622.2332
5130	 258.0706	 526.8889
5131	 248.3671	 542.1998
5132	 231.8313	 504.6033
5133	 245.0197	 502.6910
5134	 217.8856	 526.9255
5135	 224.4469	 548.2276
5136	 345.4655	 578.7533
5137	 368.5921	 564.9466
5138	 280.3520	 635.8674
5139	 306.0549	 635.3768
5140	 281.2979	 600.9281
5141	 309.2179	 603.0938
5230	 517.7380	 34.5370
5231	 534.4914	 27.2190
5232	 505.7629	 9.0037
5233	 539.2388	 11.6533
5234	 532.6371	 3.8145
5235	 467.5064	 39.4223
5236	 489.9224	 44.5939
5237	 480.3475	 16.1053
5238	 501.1101	 18.2244
5239	 502.8913	 24.6557
5240	 506.8549	 173.3194
5241	 531.6212	 144.0090
5242	 510.1182	 151.7139
5243	 515.7686	 187.4136
5244	 542.8264	 180.8763
5245	 542.5721	 181.7130
5246	 60.4657	 58.6636
5247	 85.2943	 52.1260
5248	 94.6817	 24.5126
5249	 71.8167	 9.4255
5250	 41.5745	 26.6057
5251	 48.6689	 15.3284
5252	 105.5509	 69.3074
5253	 119.5900	 68.5546
5254	 127.5343	 96.4006
5255	 88.6071	 99.4125
5256	 116.5573	 110.9660
5257	 103.2726	 111.4466
5264	 99.8192	 180.4335
5265	 121.0958	 151.3425
5266	 98.5906	 164.0463
5267	 95.3311	 170.6913
5268	 130.9439	 181.1462
5269	 137.2393	 174.3089
5270	 70.1159	 129.2097
5271	 77.2954	 138.6944
5272	 69.0348	 157.3851
5273	 41.1145	 128.5078
5274	 31.7099	 145.6181
5536	 139.4157	 622.1500
5537	 125.5797	 605.3221
5538	 168.3136	 604.6614
5539	 172.8397	 595.0973
5540	 145.3188	 562.7197
5541	 139.9378	 564.1373
5542	 155.1180	 687.9491
5543	 135.6955	 635.4089
5544	 138.5358	 630.9251
5545	 114.1684	 726.5450
5546	 114.4620	 688.7812
5547	 154.2188	 688.8049
5548	 139.0933	 731.8625
5549	 152.5541	 720.9871
5771	 245.3660	 197.3515
5772	 210.0957	 235.3766
5773	 216.0545	 239.4230
5774	 252.3392	 231.7015
5775	 248.9670	 237.9510
5776	 207.4360	 194.4258
5777	 222.5488	 188.6758
5778	 744.4691	 328.8649
5779	 725.1149	 345.8562
5780	 738.8951	 298.0610
5781	 702.4136	 331.1515
5782	 698.2787	 309.9607
5783	 706.2459	 298.0764
5823	 618.1401	 103.1281
5824	 606.9349	 114.8206
5825	 596.7457	 76.6441
5826	 486.8370	 499.8095
5827	 528.0109	 503.5814
5828	 524.3200	 492.0555
5829	 527.6560	 496.6296
5830	 610.4350	 585.0097
5836	 675.0726	 730.4378
5837	 645.6627	 712.6578
5838	 657.4008	 686.0258
5840	 712.5398	 731.8932
5842	 749.6736	 748.9745
5868	 226.6671	 702.4542
5869	 210.4569	 727.1448
5870	 199.8249	 727.6135
5871	 175.7948	 682.4101
5874	 411.0802	 657.5036
5875	 545.0866	 638.4183
5876	 592.5772	 604.3564
5877	 430.8052	 628.7677
6181	 28.8322	 719.9653
6182	 18.7020	 721.8973
6184	 35.7011	 675.8355
6185	 20.1636	 662.5052
6325	 569.4725	 66.0085
6326	 585.6021	 77.8474
6327	 547.6170	 86.5033
6328	 573.7941	 103.9053
6329	 557.8423	 106.6565
6330	 563.9638	 108.5692
6331	 588.5823	 642.9123
6332	 594.6906	 634.1276
6333	 645.6524	 665.9933
6334	 680.1059	 600.7104
6335	 657.9446	 570.9352
6336	 630.3065	 590.3808
6340	 695.3174	 718.7437
6341	 713.6404	 715.2406
6342	 708.1529	 720.9173
6343	 678.8433	 688.9723
6344	 712.1575	 663.8410
6345	 703.8399	 662.2759
6355	 225.5249	 682.1733
6356	 224.7324	 683.2125
6357	 231.7270	 653.3201
6358	 228.3952	 644.5620
6359	 198.6069	 636.4717
6360	 203.4763	 634.9627
6361	 184.7043	 653.3368
6362	 183.7431	 673.8800
6363	 341.3019	 629.1820
6364	 344.5708	 606.7510
6365	 345.9029	 605.4791
6368	 535.4712	 648.7728
6369	 533.4633	 723.4149
6370	 531.8323	 667.3773
6371	 509.9652	 676.5329
6372	 639.8763	 715.3918
6374	 592.6391	 663.7070
6375	 614.7137	 676.4155
6376	 614.5914	 711.2145
6377	 612.7182	 712.4902
6380	 473.1262	 690.6628
6381	 494.6490	 672.0079
6382	 485.7949	 711.2270
6383	 506.9406	 718.7029
6384	 504.3674	 715.3983
6385	 373.7880	 692.3829
6386	 326.5336	 696.7400
6387	 375.5116	 679.3884
6388	 397.9886	 657.0695
6389	 381.0008	 635.5898
6390	 349.8717	 657.0666
6391	 352.0019	 642.8526
6392	 419.7685	 669.7110
6393	 452.0995	 672.7548
6394	 458.7067	 688.7035
6396	 377.7045	 725.3276
6397	 384.0882	 710.6256
6403	 413.5987	 607.2991
6404	 379.6418	 605.3813
6405	 384.9565	 610.5047
6406	 380.2532	 574.3873
6407	 407.7434	 567.6555
6741	 637.6657	 632.8635
6742	 642.9202	 619.9146
6743	 648.1151	 656.6744
6744	 687.7635	 644.9329
6745	 688.2987	 621.0922
