write testing
INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	0
Global:
LX	375
LY	375
A0	2812.5
SEED	89542
TIMEINTERVAL	0.1
MINAREA	28.125
MINLENGTH	0.883883
NEWEDGELENGTH	1.76777
K	0.848528
GAMMA	1
TOTALTIME	10
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	100
ALPHAM	0.282843
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	0
equilibriumtolerance	1e-11
NUCLEATIONTHRESHOLD	1
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	50
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
817	144.752	222.561	2.05137	2.18701	2.04481	1.04192	0.0195124	1.00617
818	163.324	260.256	1.77428	2.26349	2.24541	1.14144	0.877451	0.00968979
819	213.702	247.162	2.275	2.42109	1.5871	0.671289	1.46484	0.539255
836	197.494	59.8851	2.32711	2.17487	1.78121	0.927178	1.32381	0.160257
837	210.246	62.9566	2.43175	1.70423	2.1472	1.45225	0.378647	0.837228
838	177.503	24.9636	2.35904	1.82944	2.09471	0.128658	1.17601	0.786059
839	182.114	7.8117	1.80319	2.27005	2.20994	1.33823	0.69839	0.203206
841	239.827	4.9599	1.97062	1.76694	2.54563	1.4471	0.421674	0.563634
843	293.512	32.4293	2.08512	2.16889	2.02918	0.301354	1.31594	0.783091
844	312.455	49.7685	2.27189	1.96588	2.04542	1.26444	0.85444	0.281505
850	365.277	37.8126	1.9592	2.27151	2.05247	0.915234	1.20012	0.220522
851	359.653	43.6701	2.46171	1.3571	2.46438	0.42514	0.807048	1.10369
852	326.723	137.402	2.03873	1.93304	2.31142	0.623387	1.36249	0.343132
853	324.634	108.422	2.13913	1.95966	2.1844	1.53038	0.519015	0.550549
854	364.911	153.367	1.64408	2.31586	2.32325	1.21801	0.0563902	0.765648
856	355.429	93.1336	2.06357	2.1028	2.11681	0.453812	1.51222	0.59759
865	368.771	163.733	2.17903	1.85155	2.25261	0.83776	1.17753	0.0880153
866	348.622	197.926	1.45801	2.56553	2.25965	1.3743	0.244474	0.484532
867	349.207	211.361	2.59897	2.04505	1.63916	0.314869	1.13445	0.707658
868	355.127	220.275	2.58851	1.78295	1.91172	0.862719	1.32301	0.0287579
869	367.712	226.071	2.26291	1.59727	2.42301	1.56299	0.351483	0.77997
870	262.807	208.469	2.30939	2.1746	1.7992	1.08704	1.15496	0.000260855
871	294.341	249.188	2.20184	2.03688	2.04447	0.54095	1.56318	0.477488
872	292.105	217.779	2.19064	1.61164	2.48091	1.20724	0.6939	0.401418
873	285.101	209.979	1.85223	2.06074	2.37021	0.993773	0.191334	1.11745
874	258.657	270.809	2.30208	1.59908	2.38202	1.44581	0.254796	0.896246
875	232.742	262.941	2.43872	1.6179	2.22656	0.924596	1.10372	0.115644
876	226.816	253.761	1.77605	1.89697	2.61017	1.35423	0.0491496	0.838873
877	226.982	54.3818	1.51031	2.36789	2.40498	0.45492	1.48418	0.729023
878	242.256	13.891	2.31135	1.45662	2.51522	0.680776	1.20321	0.0475334
879	260.508	64.7613	1.91782	2.05972	2.30565	1.25915	0.106324	0.852585
880	283.091	34.8857	2.4352	2.44955	1.39844	1.4491	0.993279	0.22432
Edges
id	vertex1	vertex2	xflag	yflag	tension	length	_cell1	_cell2
1	762	635	0	0	1	23.6546	1	28
2	635	466	0	0	1	15.7347	1	44
3	466	627	0	0	1	17.4467	1	29
4	627	628	0	0	1	39.1463	1	21
5	628	756	0	0	1	47.8417	1	9
6	756	755	0	0	1	22.121	1	36
7	755	761	0	0	1	31.6795	1	16
8	761	762	0	0	1	12.0627	1	6
9	812	760	0	0	1	12.2959	2	11
10	760	629	0	0	1	43.2746	2	9
11	629	801	0	0	1	28.8831	2	21
12	801	804	0	0	1	38.4705	2	38
13	804	813	0	0	1	38.7812	2	33
14	813	812	0	0	1	45.6552	2	41
15	759	194	0	0	1	47.5934	3	42
16	194	197	0	0	1	60.2422	3	27
17	197	758	0	0	1	30.8522	3	14
18	758	759	0	0	1	42.335	3	36
19	875	733	0	0	1	58.2888	4	25
20	733	584	0	0	1	55.3141	4	46
21	584	583	0	0	1	34.8578	4	10
22	583	818	0	0	1	19.1931	4	42
23	818	819	0	0	1	52.0526	4	43
24	819	876	0	0	1	14.6811	4	11
25	876	875	0	0	1	10.9261	4	12
26	880	843	0	0	1	10.7063	5	45
27	843	844	0	0	1	25.681	5	20
28	844	806	0	0	1	45.697	5	7
29	806	805	0	0	1	24.6819	5	33
30	805	879	0	0	1	37.2239	5	38
31	879	880	0	0	1	37.4503	5	23
32	765	763	0	0	1	37.6584	6	37
33	763	762	0	0	1	45.3138	6	28
34	761	764	0	0	1	49.3089	6	16
35	764	765	0	0	1	11.9082	6	14
36	853	806	0	0	1	28.2623	7	33
37	844	851	0	0	1	47.5901	7	20
38	851	856	0	0	1	49.6436	7	17
39	856	853	0	0	1	34.3809	7	48
40	641	577	0	0	1	4.70783	8	20
41	577	581	0	0	1	59.6606	8	15
42	581	580	0	0	1	27.3817	8	18
43	580	218	1	0	1	71.7335	8	49
44	218	219	0	0	1	0.190107	8	34
45	219	641	1	0	1	79.6866	8	50
46	815	756	0	0	1	26.5298	9	36
47	628	629	0	0	1	29.6609	9	21
48	760	816	0	0	1	31.5973	9	11
49	816	815	0	0	1	38.925	9	43
50	584	73	0	0	1	19.0407	10	46
51	73	72	0	0	1	80.6281	10	34
52	72	192	0	0	1	15.1769	10	49
53	192	195	0	0	1	24.0647	10	27
54	195	583	0	0	1	67.1136	10	42
55	819	816	0	0	1	54.0113	11	43
56	812	870	0	0	1	42.9975	11	41
57	870	876	0	0	1	57.8509	11	12
58	870	873	0	0	1	22.3445	12	41
59	873	872	0	0	1	10.4829	12	19
60	872	871	0	0	1	31.4889	12	32
61	871	874	0	0	1	41.7235	12	22
62	874	875	0	0	1	27.0834	12	25
63	636	65	0	0	1	22.3493	13	37
64	65	49	0	0	1	52.4793	13	17
65	49	634	0	0	1	58.1015	13	50
66	634	630	0	0	1	52.2474	13	40
67	630	637	0	0	1	25.7184	13	44
68	637	636	0	0	1	7.54359	13	28
69	764	757	0	0	1	47.1586	14	16
70	757	758	0	0	1	2.1322	14	36
71	197	196	0	0	1	16.4358	14	27
72	196	172	0	0	1	8.33233	14	39
73	172	173	0	0	1	32.2293	14	30
74	173	66	0	0	1	38.1341	14	26
75	66	765	0	0	1	5.22188	14	37
76	731	582	0	0	1	51.2601	15	22
77	582	581	0	0	1	12.0349	15	18
78	577	579	0	0	1	41.7552	15	20
79	579	578	0	0	1	17.3901	15	45
80	578	730	0	0	1	34.4105	15	47
81	730	731	0	0	1	11.9777	15	25
82	755	757	0	0	1	47.5295	16	36
83	851	850	0	0	1	8.12046	17	20
84	850	49	1	0	1	15.4892	17	50
85	65	64	0	0	1	44.0937	17	37
86	64	175	0	0	1	6.39728	17	26
87	175	856	1	0	1	35.9077	17	48
88	869	189	1	0	1	39.3997	18	39
89	189	580	1	0	1	34.0281	18	49
90	582	754	0	0	1	29.2923	18	22
91	754	868	0	0	1	56.9834	18	32
92	868	869	0	0	1	13.8555	18	30
93	873	814	0	0	1	49.8116	19	41
94	814	803	0	0	1	0.244075	19	33
95	803	866	0	0	1	57.8867	19	24
96	866	867	0	0	1	13.4481	19	30
97	867	872	0	0	1	57.4617	19	32
98	843	579	0	1	1	42.7208	20	45
